Occupation	"Total, 16
years and
 over"	"16 to 19 
years"	"20 to 24 
years"	"25 to 34 
years"	"35 to 44 
years"	"45 to 54 
years"	"55 to 64 
years"	"65 years
and over"	"Median
 age"
Total employed	152,581	5,266	13,409	34,578	32,734	30,554	25,912	10,127	42.2
Management,  professional, and related occupations	64,744	420	3,267	15,222	15,625	14,238	11,394	4,579	43.8
Management, business, and financial operations occupations	27,864	100	1,052	5,726	6,783	6,603	5,411	2,189	45.5
Management occupations	18,986	74	573	3,413	4,728	4,704	3,863	1,630	46.5
Chief executives	1,664	1	4	157	388	446	464	204	51.6
General and operations managers	1,085	2	30	258	303	272	173	47	43.4
Legislators	21	0	1	3	3	3	6	6	–
Advertising and promotions managers	72	0	7	34	15	7	5	2	34.2
Marketing managers	576	1	27	189	167	108	59	23	39.7
Sales managers	537	2	9	94	144	148	114	26	46.2
Public relations and fundraising managers	100	0	5	16	30	26	18	5	44.4
Administrative services managers	60	0	1	9	16	12	18	4	47.1
Facilities managers	146	1	0	18	38	34	46	10	50.2
Computer and information systems managers	715	2	9	113	209	212	149	21	45.7
Financial managers	1,307	2	37	281	347	301	269	70	44.8
Compensation and benefits managers	16	0	0	4	4	5	3	0	–
Human resources managers	273	2	3	45	75	74	58	17	45.8
Training and development managers	55	1	1	17	12	12	10	2	43.8
Industrial production managers	256	0	7	31	72	85	48	14	46.9
Purchasing managers	232	0	1	57	49	53	60	13	46.7
Transportation, storage, and distribution managers	314	3	14	61	79	77	64	16	45.2
Farmers, ranchers, and other agricultural managers	875	3	27	106	122	143	194	281	56.0
Construction managers	999	2	29	205	247	251	196	69	45.7
Education and childcare administrators	956	1	27	137	268	264	196	62	47.0
Architectural and engineering managers	178	0	2	23	55	53	38	6	46.4
Food service managers	1,133	28	152	268	243	219	165	57	40.0
Funeral home managers	9	0	0	0	1	3	0	4	–
Entertainment and recreation managers	43	1	2	5	11	12	8	4	–
Lodging managers	116	0	4	27	25	24	25	11	46.1
Medical and health services managers	791	0	14	146	186	228	174	44	47.2
Natural sciences managers	21	0	0	3	7	6	4	0	–
Postmasters and mail superintendents	16	0	0	4	3	6	3	0	–
Property, real estate, and community association managers	780	1	24	135	169	162	177	111	48.7
Social and community service managers	391	0	22	73	100	86	80	28	45.9
Emergency management directors	13	0	1	3	3	2	4	0	–
Personal service managers, all other	1	0	0	0	0	0	0	0	–
Managers, all other	5,235	19	113	892	1,335	1,370	1,035	469	46.8
Business and financial operations occupations	8,878	26	479	2,312	2,055	1,899	1,548	559	43.1
Agents and business managers of artists, performers, and athletes	40	0	2	8	10	9	8	3	–
Buyers and purchasing agents, farm products	11	0	1	5	2	0	2	2	–
Wholesale and retail buyers, except farm products	159	2	9	39	31	40	29	10	44.6
Purchasing agents, except wholesale, retail, and farm products	223	0	14	56	43	37	60	13	46.3
Claims adjusters, appraisers, examiners, and investigators	330	0	16	79	72	81	73	8	44.9
Compliance officers	291	0	6	53	70	77	69	15	47.6
Cost estimators	127	0	2	27	27	29	29	13	47.2
Human resources workers	871	2	59	267	217	177	121	29	40.5
Compensation, benefits, and job analysis specialists	67	0	0	12	19	23	10	3	45.2
Training and development specialists	166	0	7	38	45	36	32	7	43.3
Logisticians	132	0	9	29	25	41	22	5	45.0
Project management specialists	769	2	19	197	207	190	119	34	43.4
Management analysts	1,001	3	41	231	231	204	186	105	44.8
Meeting, convention, and event planners	116	3	7	36	30	22	11	8	40.1
Fundraisers	93	0	4	20	28	23	10	8	42.7
Market research analysts and marketing specialists	400	3	51	150	83	57	42	15	35.1
Business operations specialists, all other	584	6	39	170	138	105	93	33	41.0
Accountants and auditors	1,630	1	88	428	365	342	297	108	43.4
Property appraisers and assessors	80	0	5	13	10	17	20	15	50.0
Budget analysts	61	0	0	15	12	13	20	2	48.5
Credit analysts	38	0	4	7	8	9	9	0	–
Financial and investment analysts	343	1	29	112	73	72	44	13	39.9
Personal financial advisors	535	2	30	124	124	110	95	51	44.2
Insurance underwriters	128	0	7	23	28	33	31	6	46.8
Financial examiners	16	0	0	1	6	3	5	1	–
Credit counselors and loan officers	440	1	25	125	98	98	69	23	42.4
Tax examiners and collectors, and revenue agents	63	0	2	8	16	17	13	7	48.0
Tax preparers	101	0	3	26	18	15	17	23	48.9
Other financial specialists	61	0	2	12	16	17	12	1	45.2
Professional and related occupations	36,880	320	2,215	9,496	8,842	7,634	5,983	2,390	42.6
Computer and mathematical occupations	5,688	28	347	1,693	1,489	1,135	815	181	40.7
Computer and information research scientists	41	0	2	20	9	4	4	1	–
Computer systems analysts	464	2	17	125	127	92	83	18	42.3
Information security analysts	152	2	9	30	45	33	21	13	42.9
Computer programmers	444	5	19	108	115	95	82	20	43.4
Software developers	1,932	4	122	700	523	338	205	40	38.6
Software quality assurance analysts and testers	74	0	2	15	27	15	10	5	42.7
Web developers	81	1	3	36	22	9	8	1	38.5
Web and digital interface designers	64	1	8	19	20	9	3	4	37.1
Computer support specialists	660	6	62	180	139	140	110	23	41.1
Database administrators and architects	111	0	1	31	19	32	27	1	45.7
Network and computer systems administrators	212	1	5	49	57	54	38	8	44.1
Computer network architects	102	0	0	14	39	30	16	2	45.0
Computer occupations, all other	889	6	68	204	230	200	151	30	42.2
Actuaries	29	0	2	14	1	8	4	0	–
Mathematicians	0	0	0	0	0	0	0	0	–
Operations research analysts	141	0	6	35	38	33	24	5	42.6
Statisticians	45	0	1	16	9	13	5	1	–
Other mathematical science occupations	245	0	19	96	67	31	23	9	37.0
Architecture and engineering occupations	3,235	9	197	910	746	640	561	173	42.0
Architects, except landscape and naval	212	0	4	49	45	46	47	21	46.3
Landscape architects	27	0	1	7	6	5	5	2	–
